RecentFilesSEContributor,,,13319,119870,81043
ClassSearchEverywhereContributor,,,10212,60292,81043
FileSearchEverywhereContributor,,,9396,48736,81043
TextSearchContributor,,,7666,34365,81043
SymbolSearchEverywhereContributor,,,5480,15125,81043
ActionSearchEverywhereContributor,,,4718,16802,81043
UrlSearchEverywhereContributor,,,1612,8593,81043
TopHitSEContributor,,,390,1618,81043
YAMLKeysSearchEverywhereContributor,,,223,377,81043
RunConfigurationsSEContributor,,,106,196,81043
DbSETablesContributor,,,88,215,81043
third.party,,,60,294,81043
CommandsContributor,,,16,27,81043
CalculatorSEContributor,,,6,10,81043
Vcs.Git,,,4,7,81043